Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
pkgload	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	NA	"cli, crayon, desc, methods, pkgbuild, rlang, rprojroot,
rstudioapi, utils, withr"	NA	bitops, covr, Rcpp, testthat	NA	GPL-3	NA	NA	NA	NA	yes	4.0.0
plogr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.0	NA	NA	NA	NA	Rcpp	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
plotly	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.9.3	NA	R (>= 3.2.0), ggplot2 (>= 3.0.0)	"tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr, RColorBrewer, dplyr, vctrs,
tibble, lazyeval (>= 0.2.0), rlang, crosstalk, purrr,
data.table, promises"	NA	"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, vdiffr, Cairo, broom, webshot, listviewer,
dendextend, sf, maptools, rgeos, png, IRdisplay, processx,
plotlyGeoAssets, forcats, palmerpenguins"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.4
plotrix	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.7-8	NA	R (>= 3.5.0)	grDevices, graphics, stats, utils	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.3
plyr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.8.6	NA	R (>= 3.1.0)	Rcpp (>= 0.11.0)	Rcpp	"abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.0
png	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1-7	NA	R (>= 2.9.0)	NA	NA	NA	NA	GPL-2 | GPL-3	NA	NA	NA	NA	yes	4.0.0
polyclip	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.10-0	NA	R (>= 3.0.0)	NA	NA	NA	NA	BSL	NA	NA	NA	NA	yes	4.0.0
polynom	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4-0	NA	NA	stats, graphics	NA	knitr, rmarkdown	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
praise	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.0	NA	NA	NA	NA	testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
prettyunits	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.1	NA	NA	NA	NA	codetools, covr, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
pROC	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.16.2	NA	R (>= 2.14)	methods, plyr, Rcpp (>= 0.11.1)	Rcpp	"microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2"	NA	GPL (>= 3)	NA	NA	NA	NA	yes	4.0.2
processx	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	3.4.4	NA	NA	ps (>= 1.2.0), R6, utils	NA	"callr (>= 3.2.0), codetools, covr, crayon, curl, debugme,
parallel, testthat, withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
prodlim	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2019.11.13	NA	R (>= 2.9.0)	"Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava"	Rcpp	NA	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.2
progress	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.2	NA	NA	hms, prettyunits, R6, crayon	NA	Rcpp, testthat, withr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
promises	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.0.1	NA	NA	R6, Rcpp, later, rlang, stats, magrittr	later, Rcpp	"testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
pryr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.4	NA	R (>= 3.1.0)	stringr, codetools, methods, Rcpp (>= 0.11.0)	Rcpp	testthat (>= 0.8.0)	NA	GPL-2	NA	NA	NA	NA	yes	4.0.2
ps	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.0	NA	R (>= 3.1)	utils	NA	"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
purrr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.4	NA	R (>= 3.2)	magrittr (>= 1.5), rlang (>= 0.3.1)	NA	"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect"	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	yes	4.0.0
qap	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1-1	NA	NA	NA	NA	testthat	NA	GPL-3	NA	NA	NA	NA	yes	4.0.2
quadprog	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.5-8	NA	R (>= 3.1.0)	NA	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.3
qvalue	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.20.0	NA	R(>= 2.10)	splines, ggplot2, grid, reshape2	NA	knitr	NA	LGPL	NA	NA	NA	NA	no	4.0.3
R.cache	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.14.0	NA	R (>= 2.14.0)	"utils, R.methodsS3 (>= 1.7.1), R.oo (>= 1.23.0), R.utils (>=
2.8.0), digest (>= 0.6.13)"	NA	NA	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.4
R.methodsS3	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.8.1	NA	R (>= 2.13.0)	utils	NA	codetools	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.3
R.oo	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.24.0	NA	R (>= 2.13.0), R.methodsS3 (>= 1.8.0)	methods, utils	NA	tools	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.4
R.utils	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.10.1	NA	R (>= 2.14.0), R.oo (>= 1.23.0)	methods, utils, tools, R.methodsS3 (>= 1.8.0)	NA	digest (>= 0.6.10)	NA	LGPL (>= 2.1)	NA	NA	NA	NA	no	4.0.4
R6	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.5.0	NA	R (>= 3.0)	NA	NA	knitr, microbenchmark, pryr, testthat, ggplot2, scales	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
RAM	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.1.7	NA	vegan, ggplot2, stats	"RColorBrewer, gplots, plyr, reshape2, scales, labdsv, grid,
gridExtra, ggmap, permute, VennDiagram, data.table, FD, MASS,
RgoogleMaps, lattice, reshape, ade4, phangorn, phytools, utils,
graphics, grDevices, ape"	NA	testthat, mapproj, gtable, indicspecies, Heatplus	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
randomForest	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.6-14	NA	R (>= 3.2.2), stats	NA	NA	RColorBrewer, MASS	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.2
RANN	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.6.1	NA	NA	NA	NA	testthat	NA	GPL (>= 3)	NA	NA	NA	NA	yes	4.0.0
rappdirs	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.3	NA	R (>= 3.2)	NA	NA	roxygen2, testthat (>= 3.0.0), covr, withr	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
rapportools	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0	NA	reshape	plyr, pander	NA	NA	NA	AGPL-3	NA	NA	NA	NA	no	4.0.2
rcmdcheck	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.3.3	NA	NA	"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen"	NA	covr, knitr, mockery, rmarkdown, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
RColorBrewer	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1-2	NA	R (>= 2.0.0)	NA	NA	NA	NA	Apache License 2.0	NA	NA	NA	NA	no	4.0.0
Rcpp	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.6	NA	NA	methods, utils	NA	tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.4
RcppAnnoy	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0.18	NA	R (>= 3.1)	methods, Rcpp	Rcpp	tinytest	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.4
RcppArmadillo	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.10.2.2.0	NA	R (>= 3.3.0)	Rcpp (>= 0.11.0), stats, utils, methods	Rcpp	tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.4
RcppEigen	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.3.9.1	NA	NA	Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils	Rcpp	inline, tinytest, pkgKitten, microbenchmark	NA	GPL (>= 2) | file LICENSE	NA	NA	NA	NA	yes	4.0.4
RcppProgress	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.2	NA	NA	NA	NA	RcppArmadillo, devtools, roxygen2, testthat	NA	GPL (>= 3)	NA	NA	NA	NA	no	4.0.0
RCurl	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.98-1.2	NA	R (>= 3.4.0), methods	bitops	NA	XML	NA	BSD_3_clause + file LICENSE	NA	NA	NA	NA	yes	4.0.1
reactable	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.0	NA	R (>= 3.1)	digest, htmltools, htmlwidgets, jsonlite, reactR	NA	"covr, crosstalk, dplyr, leaflet, rmarkdown, shiny, sparkline,
testthat"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
reactR	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.2	NA	NA	htmltools	NA	"htmlwidgets (>= 0.6.0), rmarkdown, shiny, V8, knitr, usethis,
jsonlite"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
readr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.3.1	NA	R (>= 3.1)	"Rcpp (>= 0.12.0.5), tibble, hms (>= 0.4.1), R6, clipr, crayon,
methods"	Rcpp, BH	curl, testthat, knitr, rmarkdown, stringi, covr, spelling	NA	GPL (>= 2) | file LICENSE	NA	NA	NA	NA	yes	4.0.0
readxl	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.3.1	NA	NA	cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils	progress, Rcpp	covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat	NA	GPL-3	NA	NA	NA	NA	yes	4.0.0
recipes	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.13	NA	R (>= 3.1), dplyr	"generics, glue, gower, ipred, lifecycle, lubridate, magrittr,
Matrix, purrr (>= 0.2.3), rlang (>= 0.4.0), stats, tibble,
tidyr (>= 1.0.0), tidyselect (>= 0.2.5), timeDate, utils, withr"	NA	"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, RANN, RcppRoll, rmarkdown, rpart,
rsample, RSpectra, testthat (>= 2.1.0), xml2"	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
registry	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5-1	NA	R (>= 2.6.0)	utils	NA	NA	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
rematch	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.1	NA	NA	NA	NA	covr, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
rematch2	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.1.2	NA	NA	tibble	NA	covr, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
remotes	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.1.1	NA	R (>= 3.0.0)	methods, stats, tools, utils	NA	"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr"	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.0
repr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.0	NA	R (>= 3.0.1)	"utils, grDevices, htmltools, jsonlite, pillar (>= 1.4.0),
base64enc"	NA	"methods, highr, Cairo, stringr, testthat, diffobj (>= 0.2.3),
leaflet"	data.table, dplyr, htmlwidgets, vegalite, plotly, geojsonio	GPL-3	NA	NA	NA	NA	no	4.0.2
reprex	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.0	NA	R (>= 3.1)	"callr (>= 2.0.0), clipr (>= 0.4.0), fs, rlang, rmarkdown,
utils, whisker, withr"	NA	"covr, devtools, fortunes, knitr, miniUI, rprojroot,
rstudioapi, shiny, styler (>= 1.0.2), testthat (>= 2.0.0)"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
reshape	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.8.8	NA	R (>= 2.6.1)	plyr	NA	NA	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.2
reshape2	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.4	NA	R (>= 3.1)	plyr (>= 1.8.1), Rcpp, stringr	Rcpp	covr, lattice, testthat (>= 0.8.0)	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.0
reticulate	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.18	NA	R (>= 3.0)	"graphics, jsonlite, Matrix, methods, rappdirs, Rcpp (>=
0.12.7), utils"	Rcpp	callr, knitr, rmarkdown, testthat	NA	Apache License 2.0	NA	NA	NA	NA	yes	4.0.3
rex	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2.0	NA	NA	lazyeval	NA	"testthat, knitr, rmarkdown, dplyr, ggplot2, magrittr, Hmisc,
stringr, rvest, roxygen2, covr"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
RgoogleMaps	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.5.3	NA	R (>= 2.10)	graphics, stats, utils, grDevices, methods, png,sp	NA	PBSmapping, maptools, loa, RColorBrewer, leaflet,jpeg, RCurl	NA	GPL	NA	NA	NA	NA	no	4.0.3
Rgraphviz	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.34.0	NA	R (>= 2.6.0), methods, utils, graph, grid	stats4, graphics, grDevices	NA	RUnit, BiocGenerics, XML	NA	EPL	NA	NA	NA	NA	yes	4.0.3
rintrojs	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.2	NA	R (>= 3.0.0)	shiny, jsonlite	NA	testthat, covr	NA	AGPL-3	NA	NA	NA	NA	no	4.0.3
rio	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.16	NA	R (>= 2.15.0)	"tools, stats, utils, foreign, haven (>= 1.1.0), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble"	NA	"datasets, bit64, testthat, knitr, magrittr, clipr, csvy,
feather, fst, hexView, jsonlite, readODS (>= 1.6.4), readr,
rmatio, xml2 (>= 1.2.0), yaml"	NA	GPL-2	NA	NA	NA	NA	no	4.0.2
rjson	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.20	NA	R (>= 3.1.0)	NA	NA	NA	NA	GPL-2	NA	NA	NA	NA	yes	4.0.3
rlang	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4.10	NA	R (>= 3.3.0)	utils	NA	"cli, covr, crayon, glue, magrittr, methods, pak, pillar,
rmarkdown, testthat (>= 3.0.0), vctrs (>= 0.2.3), withr"	winch	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
rmarkdown	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.5.3	NA	R (>= 3.0)	"tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), jsonlite, tinytex (>= 0.11), xfun
(>= 0.15), methods, stringr (>= 1.2.0)"	NA	"shiny (>= 0.11), tufte, testthat (>= 2.0.0), digest,
dygraphs, vctrs, tibble, fs, rsconnect"	NA	GPL-3	NA	NA	NA	NA	no	4.0.3
ROCR	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0-11	NA	R (>= 3.6)	methods, graphics, grDevices, gplots, stats	NA	testthat, knitr, rmarkdown	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.0
roxygen2	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	7.1.0	NA	R (>= 3.2)	"brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), Rcpp (>=
0.11.0), rlang, stringi, stringr (>= 1.0.0), utils, xml2"	Rcpp	"covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo"	NA	GPL (>= 2)	NA	NA	NA	NA	yes	4.0.1
rprojroot	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.2	NA	R (>= 3.0.0)	NA	NA	"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
RPushbullet	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.3	NA	NA	utils, stats, jsonlite, curl	NA	NA	NA	GPL (>= 2)	NA	NA	NA	NA	no	4.0.1
rsconnect	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.8.16	NA	R (>= 3.0.0)	"curl, digest, jsonlite, openssl, packrat (>= 0.4.8-1),
rstudioapi (>= 0.5), yaml (>= 2.1.5)"	NA	"RCurl, callr, httpuv, knitr, plumber (>= 0.3.2), reticulate,
rmarkdown (>= 1.1), shiny, sourcetools, testthat, xtable"	NA	GPL-2	NA	NA	NA	NA	no	4.0.1
RSpectra	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.16-0	NA	R (>= 3.0.2)	Matrix (>= 1.1-0), Rcpp (>= 0.11.5)	Rcpp, RcppEigen (>= 0.3.3.3.0)	knitr, rmarkdown, prettydoc	NA	MPL (>= 2)	NA	NA	NA	NA	yes	4.0.0
RSQLite	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.2.1	NA	R (>= 3.1.0)	"bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 0.12.7)"	BH, plogr (>= 0.2.0), Rcpp	DBItest (>= 1.7.0), knitr, rmarkdown, testthat	NA	LGPL (>= 2.1)	NA	NA	NA	NA	yes	4.0.3
rstudioapi	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.13	NA	NA	NA	NA	testthat, knitr, rmarkdown, clipr	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.3
rsvd	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.0.3	NA	R (>= 3.2.2)	Matrix	NA	ggplot2, testthat	NA	GPL (>= 3)	NA	NA	NA	NA	no	4.0.0
Rtsne	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.15	NA	NA	Rcpp (>= 0.11.0), stats	Rcpp	irlba, testthat	NA	file LICENSE	yes	NA	NA	NA	yes	4.0.0
Rttf2pt1	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.3.8	NA	R (>= 2.15)	NA	NA	NA	NA	file LICENSE	yes	NA	NA	NA	yes	4.0.2
rvcheck	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.8	NA	R (>= 3.4.0)	BiocManager, utils, rlang	NA	NA	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
rversions	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	2.0.2	NA	NA	curl, utils, xml2 (>= 1.0.0)	NA	mockery, testthat	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.1
rvest	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.5	NA	R (>= 3.2), xml2	httr (>= 0.5), magrittr, selectr	NA	"covr, knitr, png, rmarkdown, spelling, stringi (>= 0.3.1),
testthat"	NA	GPL-3	NA	NA	NA	NA	no	4.0.0
S4Vectors	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.28.0	NA	"R (>= 3.3.0), methods, utils, stats, stats4, BiocGenerics (>=
0.35.0)"	NA	NA	"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle"	NA	Artistic-2.0	NA	NA	NA	NA	yes	4.0.3
sankeyD3	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.2	NA	R (>= 3.0.0)	d3r, htmlwidgets (>= 0.3.2), shiny, magrittr	NA	htmltools (>= 0.2.6), igraph, jsonlite	knitr, shiny	GPL (>= 3)	NA	NA	NA	NA	no	4.0.2
santoku	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.5.0	NA	NA	Rcpp, assertthat, lifecycle, vctrs	Rcpp	"covr, testthat (>= 2.1.0), knitr, lubridate, microbenchmark,
purrr, rmarkdown, scales, withr"	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.3
sass	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.1	NA	NA	digest, fs, rlang, htmltools, R6, rappdirs	NA	testthat, knitr, rmarkdown, withr, shiny	NA	MIT + file LICENSE	NA	NA	NA	NA	yes	4.0.4
scales	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.1	NA	R (>= 3.2)	"farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite"	NA	"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)"	NA	MIT + file LICENSE	NA	NA	NA	NA	no	4.0.0
scattermore	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.7	NA	NA	ggplot2, scales, grid, grDevices, graphics	NA	NA	NA	GPL (>= 3)	NA	NA	NA	NA	yes	4.0.3
scatterpie	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.1.5	NA	R (>= 3.4.0), ggplot2	ggforce, rlang, rvcheck, stats, tidyr, utils	NA	knitr, prettydoc, maps	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
scatterplot3d	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3-41	NA	R (>= 2.7.0)	grDevices, graphics, stats	NA	NA	NA	GPL-2	NA	NA	NA	NA	no	4.0.3
sctransform	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.3.2	NA	R (>= 3.1.0)	"MASS, Matrix, methods, future.apply, future, ggplot2,
reshape2, gridExtra, matrixStats"	RcppArmadillo, Rcpp (>= 0.11.0)	irlba, testthat, knitr	glmGamPoi	GPL-3 | file LICENSE	NA	NA	NA	NA	yes	4.0.4
selectr	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.4-2	NA	R (>= 3.0)	methods, stringr, R6	NA	testthat, XML, xml2	NA	BSD_3_clause + file LICENCE	NA	NA	NA	NA	no	4.0.0
seriation	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.2-9	NA	R (>= 2.14.0)	"stats, grDevices, grid, TSP, qap, cluster, gclus, dendextend,
colorspace, MASS, gplots, registry"	NA	biclust, testthat, DendSer, GA	NA	GPL-3	NA	NA	NA	NA	yes	4.0.2
sessioninfo	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.1.1	NA	NA	cli, tools, utils, withr	NA	callr, covr, mockery, testthat	NA	GPL-2	NA	NA	NA	NA	no	4.0.1
SeuratData	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.2.1	NA	R (>= 3.5.0)	cli, crayon, rappdirs, stats, utils	NA	NA	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	no	4.0.4
SeuratDisk	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0.0.9019	NA	R (>= 3.6.0)	"cli (>= 2.0.1), crayon (>= 1.3.4), hdf5r (>= 1.3.0), Matrix
(>= 1.2.18), methods (>= 3.6.0), R6 (>= 2.4.1), rlang (>=
0.4.4), Seurat (>= 3.2.0), SeuratObject (>= 4.0.0), stats,
stringi (>= 1.4.6), tools, utils, withr (>= 2.1.2)"	NA	httr, knitr, rmarkdown, SeuratData	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	no	4.0.4
SeuratObject	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	4.0.0	NA	R (>= 3.5.0)	"grDevices, grid, Matrix (>= 1.2.18), methods, Rcpp (>= 1.0.5),
rlang (>= 0.4.7), sctransform, stats, tools, utils"	Rcpp, RcppEigen	tinytest	NA	GPL-3	NA	NA	NA	NA	yes	4.0.4
shades	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.0	NA	NA	NA	NA	testthat, covr, ggplot2	colorspace	BSD_3_clause + file LICENCE	NA	NA	NA	NA	no	4.0.2
shadowtext	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	0.0.7	NA	R (>= 3.4.0)	ggplot2, grid, scales	NA	knitr, prettydoc	NA	Artistic-2.0	NA	NA	NA	NA	no	4.0.3
shape	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.4.5	NA	R (>= 2.01)	stats, graphics, grDevices	NA	NA	NA	GPL (>= 3)	NA	NA	NA	NA	no	4.0.3
shiny	/home/csandoval/R/x86_64-pc-linux-gnu-library/4.0	1.6.0	NA	R (>= 3.0.2), methods	"utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest (>= 0.6.25), htmltools (>=
0.5.0.9001), R6 (>= 2.0), sourcetools, later (>= 1.0.0),
promises (>= 1.1.0), tools, crayon, rlang (>= 0.4.9), fastmap
(>= 1.0.0), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib
(>= 0.2.2.9002), cachem, ellipsis, lifecycle (>= 0.2.0)"	NA	"datasets, Cairo (>= 1.5-5), testthat (>= 2.1.1), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, shinytest (>= 1.4.0.9003), yaml, future, dygraphs,
ragg, showtext, sass"	NA	GPL-3 | file LICENSE	NA	NA	NA	NA	no	4.0.4
